NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 emission factor,Passenger Cars,CNG,CNG - Euro 6 and later 4,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 emission factor,Passenger Cars,CNG,CNG - Euro 4 and 5&6,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 emission factor,Passenger Cars,E85,E85 - Euro 4 and later,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 emission factor,Passenger Cars,Petrol,Hybrid Petrol Large - Euro 4 and later,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_79,Tier 2 emission factor,Passenger Cars,Petrol,Hybrid Petrol Medium - Euro 4 and later,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_49,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Small - Euro 6 up to 2016,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_50,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Small - Euro 6 2017-2023,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_51,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Small - Euro 6 2020+,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_46,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - Euro 6 2020+,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_47,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Small - Euro 4 - 98/69/EC II,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_48,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Small - Euro 5 – EC 715/2007,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Medium - Euro 4 - 98/69/EC II,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Medium - Euro 3 - 98/69/EC I,NA,CO2,0.464,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_44,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - Euro 6 up to 2016,NA,CO2,0.398,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_52,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Medium - Conventional,NA,CO2,0.663,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Medium - Euro 2 - 94/12/EEC,NA,CO2,0.53,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_53,Tier 2 emission factor,Passenger Cars,Diesel,Diesel Medium - Euro 1 - 91/441/EEC,NA,CO2,0.596,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_38,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - ECE 15/04,NA,CO2,0.663,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_39,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - Euro 1 - 91/441/EEC,NA,CO2,0.596,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_35,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - ECE 15/00-01,NA,CO2,0.663,g/km,,,Calculated using Tier 3 method
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_36,Tier 2 emission factor,Passenger Cars,Petrol,Petrol Large-SUV-Executive - ECE 15/02,NA,CO2,0.663,g/km,,,Calculated using Tier 3 method
